school_id,school_name,school_url,finalised_urls,finalised_url_count,total_documents,per_url,per_url_count
399,Abington,https://www.abingtonps.org,"https://www.abingtonps.org
https://www.abingtonps.org/page/2026-2027-school-committee-agendas
https://www.abingtonps.org/page/archived-school-committee-agendas-documents-minutes-and-policies",3,43,"https://www.abingtonps.org/documents/central-office/abington-public-schools-policy-manual/651341 (1)
https://www.abingtonps.org/documents/community/building-use/650729 (4)
https://www.abingtonps.org/documents/community/community-links/650733 (4)
https://www.abingtonps.org/documents/technology-resources/technology-guides/650331 (6)
https://www.abingtonps.org/live-feed (1)
https://www.abingtonps.org/page/archived-school-committee-agendas-documents-minutes-and-policies (23)
https://www.abingtonps.org/page/central-office-staff (1)
https://www.abingtonps.org/page/two-mile-limit (3)",8
400,Agawam,https://www.agawamed.org/,"https://us-east-2.protection.sophos.com/?d=cablecast.tv&u=aHR0cDovL2FnYXdhbXZvZC5jYWJsZWNhc3QudHYvaW50ZXJuZXRjaGFubmVsL3NlYXJjaD9zaXRlPTEmcXVlcnk9U2Nob29sK0NvbW1pdHRlZSZmdWxsVGV4dD1mYWxzZQ==&i=NWViYzJmYzZkZDY5M2YxNzYxOTE0MjJm&t=YVd3dFhEZzYvdlRFd012N2dyYnFwOUFuRFFTc2JwVWtTcm53Q3N4cVZrRT0=&h=920d1e9b9d7f49469b38c33d60f94246&s=AVNPUEhUT0NFTkNSWVBUSVZsNSX5DmkmLtVZk6T_g_T-QRE8lB3ZyVFxSYsrE34cVQ
https://www.agawamed.org/browse/145146
https://www.agawamed.org/browse/145147
https://www.agawamed.org/page/school-committee",4,0,,0
401,Ashland,http://www.ashland.k12.ma.us,"https://drive.google.com/drive/folders/0B0n1npGCorhBfmhtQWxrdmZnOTNJN29vUFVFVENGWGp2aENNeWpvbTNWVkwtOE9ob3EzRTQ?resourcekey=0-GYd5V1ZeMsg1sodIhkeJIg&usp=sharing
http://www.ashland.k12.ma.us/school-committee
http://www.ashland.k12.ma.us/school-committee/meeting-agendas-minutes-meeting-video-links/meeting-agendas-minutes-video-links",3,104,"http://www.ashland.k12.ma.us/school-committee (66)
http://www.ashland.k12.ma.us/school-committee/ashland-school-committee/meeting-agendas-minutes-video-links-2024-2025 (9)
http://www.ashland.k12.ma.us/school-committee/ashland-school-committee/school-choice-seats-2026-2027 (1)
http://www.ashland.k12.ma.us/school-committee/meeting-agendas-minutes-meeting-video-links/meeting-agendas-minutes-video-links (28)",4
402,Belchertown,https://www.belchertownps.org,"https://www.belchertownps.org/agenda-minutes
https://www.belchertownps.org/school-committee
https://www.belchertownps.org/school-committee-document-archives",3,215,"https://www.belchertownps.org/agenda-minutes (37)
https://www.belchertownps.org/school-committee (2)
https://www.belchertownps.org/school-committee-document-archives (176)",3
403,Belmont,https://www.belmont.k12.ma.us,"https://www.belmont.k12.ma.us
https://www.belmont.k12.ma.us/page/minutes-archive
https://www.belmont.k12.ma.us/page/notices-agendas
https://www.belmont.k12.ma.us/page/policies
https://www.belmont.k12.ma.us/page/sc-archive-public-documents
https://www.belmont.k12.ma.us/page/school-committee
https://www.belmont.k12.ma.us/page/sc-public-documents",7,548,"https://www.belmont.k12.ma.us/o/bbes (1)
https://www.belmont.k12.ma.us/o/bes (1)
https://www.belmont.k12.ma.us/o/bms (1)
https://www.belmont.k12.ma.us/o/bps/page/bps-calendar (1)
https://www.belmont.k12.ma.us/o/bps/page/school-budget (16)
https://www.belmont.k12.ma.us/o/cues (1)
https://www.belmont.k12.ma.us/o/wbes (1)
https://www.belmont.k12.ma.us/o/wes (1)
https://www.belmont.k12.ma.us/page/athletics (1)
https://www.belmont.k12.ma.us/page/athletics-training (1)
https://www.belmont.k12.ma.us/page/business-office-payroll (1)
https://www.belmont.k12.ma.us/page/climate-survey (3)
https://www.belmont.k12.ma.us/page/collective-bargaining-2025 (1)
https://www.belmont.k12.ma.us/page/curriculum-instruction (1)
https://www.belmont.k12.ma.us/page/dei-news (3)
https://www.belmont.k12.ma.us/page/dei-news-archive-2024-2025 (1)
https://www.belmont.k12.ma.us/page/district-attendance-policy (1)
https://www.belmont.k12.ma.us/page/employment-forms (1)
https://www.belmont.k12.ma.us/page/facilities-rental-information (2)
https://www.belmont.k12.ma.us/page/for-substitutes (1)
https://www.belmont.k12.ma.us/page/health-forms-and-resources (1)
https://www.belmont.k12.ma.us/page/mtss-overview (1)
https://www.belmont.k12.ma.us/page/notices-agendas (494)
https://www.belmont.k12.ma.us/page/professional-development (1)
https://www.belmont.k12.ma.us/page/resources (1)
https://www.belmont.k12.ma.us/page/school-committee (1)
https://www.belmont.k12.ma.us/page/strategic-initiatives (1)
https://www.belmont.k12.ma.us/page/strategic-plan (6)
https://www.belmont.k12.ma.us/page/summer-program (1)
https://www.belmont.k12.ma.us/page/wellness (1)",30
478,Berlin-Boylston,https://www.bbrsd.org,"https://www.bbrsd.org
https://www.bbrsd.org/school-committee/all-agendas
https://www.bbrsd.org/school-committee/all-minutes
https://www.bbrsd.org/school-committee/archived-agendas",4,333,"https://www.bbrsd.org (4)
https://www.bbrsd.org/administration/bullying-prevention-policy (1)
https://www.bbrsd.org/administration/director-of-curriculum-and-grants-grades-6-12/bbrsd-curriculum-review-process (1)
https://www.bbrsd.org/administration/director-of-curriculum-and-grants-grades-6-12/bullying-prevention-plan-and-intervention-plan (1)
https://www.bbrsd.org/administration/director-of-curriculum-and-grants-grades-6-12/director-of-curriculum-and-grants-grades-6-12-home (5)
https://www.bbrsd.org/administration/director-of-curriculum-and-grants-grades-6-12/job-shadow-and-internship-program-at-tahanto-regional-middle-high-school (1)
https://www.bbrsd.org/administration/director-of-curriculum-and-grants-grades-6-12/professional-development-plan (1)
https://www.bbrsd.org/administration/director-of-facilities/cleaning-products-msds (1)
https://www.bbrsd.org/administration/director-of-finance-and-operations/bid-documents (2)
https://www.bbrsd.org/administration/director-of-finance-and-operations/wheres-my-kid-app-instructions (4)
https://www.bbrsd.org/administration/director-of-pupil-personnel-services/coordinated-program-review-docs (1)
https://www.bbrsd.org/administration/district-health-services/mandated-screenings (1)
https://www.bbrsd.org/administration/district-health-services/ma-required-school-immunizations (1)
https://www.bbrsd.org/administration/food-services/elementary-school-lunch-packet (1)
https://www.bbrsd.org/administration/food-services/free-and-reduced-application-english (1)
https://www.bbrsd.org/administration/food-services/free-and-reduced-application-spanish (1)
https://www.bbrsd.org/administration/food-services/tahanto-school-lunch-packet (1)
https://www.bbrsd.org/administration/superintendents-corner/grief-support-resources (2)
https://www.bbrsd.org/our-district/information-for-current-employees/dental-plan-information (1)
https://www.bbrsd.org/our-district/information-for-current-employees/employee-assistance-program (1)
https://www.bbrsd.org/our-district/information-for-current-employees/flexible-spending-accounts (1)
https://www.bbrsd.org/our-district/information-for-current-employees/insurance-rates (1)
https://www.bbrsd.org/our-district/information-for-current-employees/vision-plan-forms (1)
https://www.bbrsd.org/our-district/information-for-current-employees/vision-plan-information (1)
https://www.bbrsd.org/our-district/our-goals (1)
https://www.bbrsd.org/school-committee/2024-election-information (5)
https://www.bbrsd.org/school-committee/all-agendas (116)
https://www.bbrsd.org/school-committee/all-agendas/archived-agendas (52)
https://www.bbrsd.org/school-committee/all-minutes (107)
https://www.bbrsd.org/school-committee/current-meeting-schedule (1)
https://www.bbrsd.org/school-committee/fy25-budget-information (4)
https://www.bbrsd.org/school-committee/fy26-budget-information (4)
https://www.bbrsd.org/school-committee/fy27-budget-information (2)
https://www.bbrsd.org/school-committee/guidlines-for-public-comment (1)
https://www.bbrsd.org/school-committee/home (3)
https://www.bbrsd.org/school-committee/school-committee-handbook (1)",36
404,Beverly,https://www.beverlyschools.org,"https://www.beverlyschools.org/apps/pages/index.jsp?uREC_ID=2083091&type=d
https://www.beverlyschools.org/apps/pages/index.jsp?uREC_ID=2083091&type=d&pREC_ID=2285699
https://www.beverlyschools.org/apps/pages/index.jsp?uREC_ID=2083160&type=d&pREC_ID=2133568",3,6,"https://www.beverlyschools.org/apps/pages/index.jsp?uREC_ID=2083091&type=d&pREC_ID=2285699 (3)
https://www.beverlyschools.org/apps/pages/index.jsp?uREC_ID=2083160&type=d&pREC_ID=2133568 (3)",2
479,Blackstone-Millville,https://www.bmrsd.net,"https://www.bmrsd.net/o/bmrsd/page/school-committee-agendas-and-minutes
https://www.youtube.com/playlist?list=PLZFzagk00pfdRNZSJzQQwo3MlBZHfCxHP",2,1,https://www.bmrsd.net/o/bmrsd/page/school-committee-agendas-and-minutes (1),1
405,Boston,https://www.bostonpublicschools.org,https://www.bostonpublicschools.org/school-committee/meeting-archives,1,1,https://www.bostonpublicschools.org/school-committee/meeting-archives (1),1
468,Boston Preparatory Charter Public (District),https://www.bostonprep.org,"https://www.bostonprep.org
https://www.bostonprep.org/about/board-of-trustees/committee-minutes-archive
https://www.bostonprep.org/about/board-of-trustees/meeting-minutes",3,112,"https://www.bostonprep.org (1)
https://www.bostonprep.org/about/annual-report (3)
https://www.bostonprep.org/about/back-to-school-information (12)
https://www.bostonprep.org/about/board-of-trustees/committee-minutes-archive (38)
https://www.bostonprep.org/about/board-of-trustees/meeting-minutes (23)
https://www.bostonprep.org/about/reports-and-accountability (14)
https://www.bostonprep.org/academics/2026-summer-reading (8)
https://www.bostonprep.org/academics/course-catalog (1)
https://www.bostonprep.org/academics/persistence-project (1)
https://www.bostonprep.org/enrollment/enrollment-overview (6)
https://www.bostonprep.org/families/ (3)
https://www.bostonprep.org/student-experience/student-resources (1)
https://www.bostonprep.org/student-experience/student-support/the-nurses-corner (1)",13
