number,name,org_code,district_type,website
1,Abby Kelley Foster Charter Public (District),04450000,Charter District,https://www.akfcs.org
2,Abington,00010000,Public School District,https://www.abingtonps.org
3,Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,https://www.pacrim.org
4,Acton-Boxborough,06000000,Public School District,http://www.abschools.org/
5,Acushnet,00030000,Public School District,https://www.acushnetschools.us
6,Advanced Math and Science Academy Charter (District),04300000,Charter District,https://www.amsacs.org
7,Agawam,00050000,Public School District,https://www.agawamed.org/
8,Alma del Mar Charter School (District),04090000,Charter District,https://almadelmar.org
9,Amesbury,00070000,Public School District,https://schools.amesburyma.gov/
10,Amherst,00080000,Public School District,https://arps.org
11,Amherst-Pelham,06050000,Public School District,https://arps.org
12,Andover,00090000,Public School District,https://www.aps1.net
13,Argosy Collegiate Charter School (District),35090000,Charter District,https://www.argosycollegiate.org
14,Arlington,00100000,Public School District,https://www.arlington.k12.ma.us/
15,Ashburnham-Westminster,06100000,Public School District,https://www.awrsd.org
16,Ashland,00140000,Public School District,http://www.ashland.k12.ma.us
17,Assabet Valley Regional Vocational Technical,08010000,Public School District,https://www.assabet.org
18,Athol-Royalston,06150000,Public School District,https://www.arrsd.org
19,Atlantis Charter (District),04910000,Charter District,https://www.atlantiscs.org
20,Attleboro,00160000,Public School District,https://www.attleboroschools.com
21,Auburn,00170000,Public School District,https://www.auburn.k12.ma.us
22,Avon,00180000,Public School District,https://avon.k12.ma.us
23,Ayer Shirley School District,06160000,Public School District,https://www.asrsd.org/
24,Barnstable,00200000,Public School District,http://www.barnstable.k12.ma.us/
25,Baystate Academy Charter Public School (District),35020000,Charter District,https://www.bacps.net
26,Bedford,00230000,Public School District,https://bedfordps.org
27,Belchertown,00240000,Public School District,https://www.belchertownps.org
28,Bellingham,00250000,Public School District,https://www.bellinghamk12.org
29,Belmont,00260000,Public School District,https://www.belmont.k12.ma.us
30,Benjamin Banneker Charter Public (District),04200000,Charter District,https://www.banneker.org
31,Benjamin Franklin Classical Charter Public (District),04470000,Charter District,https://www.bfccps.org
32,Berkley,00270000,Public School District,https://www.BerkleyPublicSchools.org
33,Berkshire Arts and Technology Charter Public (District),04140000,Charter District,https://www.bartcharter.org
34,Berkshire Hills,06180000,Public School District,https://www.bhrsd.org
35,Berlin-Boylston,06200000,Public School District,https://www.bbrsd.org
36,Beverly,00300000,Public School District,https://www.beverlyschools.org
37,Billerica,00310000,Public School District,https://www.billericak12.com
38,Blackstone Valley Regional Vocational Technical,08050000,Public School District,https://www.valleytech.k12.ma.us
39,Blackstone-Millville,06220000,Public School District,https://www.bmrsd.net
40,Blue Hills Regional Vocational Technical,08060000,Public School District,https://www.bluehills.org
41,Boston,00350000,Public School District,https://www.bostonpublicschools.org
42,Boston Collegiate Charter (District),04490000,Charter District,https://www.bostoncollegiate.org
43,Boston Day and Evening Academy Charter (District),04240000,Charter District,https://www.bdea.com
44,Boston Green Academy Horace Mann Charter School (District),04110000,Charter District,https://www.bostongreenacademy.org
45,Boston Preparatory Charter Public (District),04160000,Charter District,https://www.bostonprep.org
46,Boston Renaissance Charter Public (District),04810000,Charter District,https://www.bostonrenaissance.org
47,Bourne,00360000,Public School District,https://www.bourneps.org/
48,Boxford,00380000,Public School District,https://www.tritownschoolunion.com
49,Braintree,00400000,Public School District,http://www.braintreeschools.org
50,Brewster,00410000,Public School District,http://nausetschools.org
51,Bridge Boston Charter School (District),04170000,Charter District,https://www.bridgebostoncs.org
52,Bridgewater-Raynham,06250000,Public School District,https://bridge-rayn.org
53,Brimfield,00430000,Public School District,https://www.tantasqua.org
54,Bristol County Agricultural,09100000,Public School District,https://www.bristolaggie.org
55,Bristol-Plymouth Regional Vocational Technical,08100000,Public School District,https://www.bptech.org
56,Brockton,00440000,Public School District,https://www.bpsma.org
57,Brooke Charter School (District),04280000,Charter District,https://www.ebrooke.org
58,Brookfield,00450000,Public School District,https://www.tantasqua.org
59,Brookline,00460000,Public School District,http://www.brookline.k12.ma.us/
60,Burlington,00480000,Public School District,https://www.burlingtonpublicschools.org
61,Cambridge,00490000,Public School District,https://www.cpsd.us
62,Canton,00500000,Public School District,https://www.cantonma.org/
63,Cape Cod Lighthouse Charter (District),04320000,Charter District,http://www.cclighthouseschool.org
64,Cape Cod Regional Vocational Technical,08150000,Public School District,https://capetech.us
65,Carlisle,00510000,Public School District,https://www.carlisle.k12.ma.us
66,Carver,00520000,Public School District,https://www.carver.org
67,Central Berkshire,06350000,Public School District,https://www.cbrsd.org
68,Chelmsford,00560000,Public School District,https://www.chelmsford.k12.ma.us
69,Chelsea,00570000,Public School District,https://www.chelseaschools.com/
70,Chesterfield-Goshen,06320000,Public School District,https://www.hr-k12.org
71,Chicopee,00610000,Public School District,https://www.chicopeeps.org
72,Christa McAuliffe Charter School (District),04180000,Charter District,https://www.mcauliffecharter.org
73,Clarksburg,00630000,Public School District,https://www.clarksburgschool.org
74,Clinton,00640000,Public School District,https://www.clinton.k12.ma.us
75,Codman Academy Charter Public (District),04380000,Charter District,https://www.codmanacademy.org
76,Cohasset,00650000,Public School District,http://www.cohassetk12.org
77,Collegiate Charter School of Lowell (District),35030000,Charter District,https://collegiatelowell.org
78,Community Charter School of Cambridge (District),04360000,Charter District,https://www.ccscambridge.org
79,Community Day Charter Public School (District),04400000,Charter District,https://www.cdcps.org
80,Concord,00670000,Public School District,https://www.concordpublicschools.net
81,Concord-Carlisle,06400000,Public School District,https://www.concordps.org
82,Conservatory Lab Charter (District),04390000,Charter District,https://www.conservatorylab.org
83,Conway,00680000,Public School District,https://www.frsu38.org
84,Danvers,00710000,Public School District,https://danverspublicschools.org
85,Dartmouth,00720000,Public School District,https://www.dartmouth.school
86,Dedham,00730000,Public School District,http://www.dedham.k12.ma.us
87,Deerfield,00740000,Public School District,https://www.frsu38.org
88,Dennis-Yarmouth,06450000,Public School District,https://www.dy-regional.k12.ma.us
89,Dighton-Rehoboth,06500000,Public School District,https://www.drregional.org
90,Douglas,00770000,Public School District,https://www.douglasps.net
91,Dover,00780000,Public School District,http://www.doversherborn.org
92,Dover-Sherborn,06550000,Public School District,http://www.doversherborn.org
93,Dracut,00790000,Public School District,https://dracutps.org
94,Dudley Street Neighborhood Charter School (District),04070000,Charter District,http://www.dudleystreetschool.org/
95,Dudley-Charlton Reg,06580000,Public School District,http://dcrsd.org
96,Duxbury,00820000,Public School District,https://www.duxbury.k12.ma.us
97,East Bridgewater,00830000,Public School District,https://www.ebps.net
98,East Longmeadow,00870000,Public School District,https://www.eastlongmeadowma.gov/378/Schools
99,Eastham,00850000,Public School District,http://nausetschools.org
100,Easthampton,00860000,Public School District,https://www.epsd.us
101,Easton,00880000,Public School District,https://eastonmaschools.org
102,Edgartown,00890000,Public School District,https://mvyps.org
103,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public,,Charter District,https://www.kennedyacademy.org
104,Erving,00910000,Public School District,https://www.union28.org
105,Essex North Shore Agricultural and Technical School District,08170000,Public School District,https://essexnorthshore.org
106,Everett,00930000,Public School District,https://www.everettpublicschools.org/
107,Excel Academy Charter (District),04100000,Charter District,https://www.excelacademy.org
108,Fairhaven,00940000,Public School District,https://www.fairhavenps.org/
109,Fall River,00950000,Public School District,https://www.fallriverschools.org
110,Falmouth,00960000,Public School District,https://www.falmouth.k12.ma.us
111,Farmington River Reg,06620000,Public School District,https://www.frrsd.org
112,Fitchburg,00970000,Public School District,http://www.fitchburgschools.org
113,Florida,00980000,Public School District,https://www.abbottmemorial.org
114,Four Rivers Charter Public (District),04130000,Charter District,https://www.fourriverscharter.org
115,Foxborough,00990000,Public School District,http://www.foxborough.k12.ma.us
116,Foxborough Regional Charter (District),04460000,Charter District,https://www.foxboroughrcs.org/
