number,name,org_code,district_type,website,status,reason,error
4,Acton-Boxborough,06000000,Public School District,http://www.abschools.org/,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
13,Argosy Collegiate Charter School (District),35090000,Charter District,https://www.argosycollegiate.org,403,http_403,
15,Ashburnham-Westminster,06100000,Public School District,https://www.awrsd.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
19,Atlantis Charter (District),04910000,Charter District,https://www.atlantiscs.org,403,http_403,
26,Bedford,00230000,Public School District,https://bedfordps.org,,ssl_error,"HTTPSConnectionPool(host='bedfordps.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1000)')))"
28,Bellingham,00250000,Public School District,https://www.bellinghamk12.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
34,Berkshire Hills,06180000,Public School District,https://www.bhrsd.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
46,Boston Renaissance Charter Public (District),04810000,Charter District,https://www.bostonrenaissance.org,403,http_403,
48,Boxford,00380000,Public School District,https://www.tritownschoolunion.com,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
74,Clinton,00640000,Public School District,https://www.clinton.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
77,Collegiate Charter School of Lowell (District),35030000,Charter District,https://collegiatelowell.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
79,Community Day Charter Public School (District),04400000,Charter District,https://www.cdcps.org,403,http_403,
86,Dedham,00730000,Public School District,http://www.dedham.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
88,Dennis-Yarmouth,06450000,Public School District,https://www.dy-regional.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
107,Excel Academy Charter (District),04100000,Charter District,https://www.excelacademy.org,403,http_403,
121,Freetown-Lakeville,06650000,Public School District,https://www.freelake.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
130,Grafton,01100000,Public School District,http://graftonps.org/Domain/11,403,http_403,
140,Halifax,01180000,Public School District,https://hes.slrsd.org,,ssl_error,"HTTPSConnectionPool(host='hes.slrsd.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
145,Hancock,01210000,Public School District,https://www.hancockschool.org,,ssl_error,"HTTPSConnectionPool(host='www.hancockschool.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.hancockschool.org'. (_ssl.c:1000)"")))"
146,Hanover,01220000,Public School District,http://hanoverschools.org,403,http_403,
147,Harvard,01250000,Public School District,https://www.psharvard.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
149,Haverhill,01280000,Public School District,http://www.haverhill-ps.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
158,Holyoke Community Charter (District),04530000,Charter District,https://www.hccs-sabis.net,,ssl_error,"HTTPSConnectionPool(host='www.hccs-sabis.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.hccs-sabis.net'. (_ssl.c:1000)"")))"
170,Kingston,01450000,Public School District,https://slrsd.org,,ssl_error,"HTTPSConnectionPool(host='slrsd.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
171,Lawrence,01490000,Public School District,https://www.lawrence.k12.ma.us,403,http_403,
177,Leominster,01530000,Public School District,https://www.leominsterps.org,,ssl_error,"HTTPSConnectionPool(host='www.leominsterps.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
181,Lincoln,01570000,Public School District,https://www.lincnet.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
182,Lincoln-Sudbury,06950000,Public School District,https://www.lsrhs.net,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
188,Ludlow,01610000,Public School District,https://ludlowps.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
190,Lynn,01630000,Public School District,https://www.lynnschools.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
198,Marblehead Community Charter Public (District),04640000,Charter District,https://marbleheadcharter.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
217,Middleton,01840000,Public School District,https://www.tritownschoolunion.com,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
219,Millbury,01860000,Public School District,http://www.millburyschools.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
222,Minuteman Regional Vocational Technical,08300000,Public School District,https://www.minuteman.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
